"Date","Price","Open","High","Low","Vol.","Change %"
"09/15/2023","88.5360","88.3360","88.8105","88.2815","","0.23%"
"09/14/2023","88.3310","88.9875","89.2120","88.2800","","-0.72%"
"09/13/2023","88.9710","89.1075","89.3005","88.9285","","-0.13%"
"09/12/2023","89.0890","89.1365","89.2795","88.7495","","-0.01%"
"09/11/2023","89.1010","88.9720","89.2050","88.8285","","0.33%"
"09/08/2023","88.8060","88.9465","89.2155","88.7250","","-0.18%"
"09/07/2023","88.9620","89.2665","89.2945","88.9045","","-0.32%"
"09/06/2023","89.2450","89.0370","89.3710","88.9940","","0.20%"
"09/05/2023","89.0690","89.3090","89.4190","88.9260","","-0.21%"
"09/04/2023","89.2580","89.1265","89.4035","89.0670","","0.20%"
"09/01/2023","89.0810","89.6570","89.9345","89.0730","","-0.64%"
"08/31/2023","89.6570","90.2660","90.4140","89.5965","","-0.65%"
"08/30/2023","90.2400","89.8650","90.4310","89.7365","","0.46%"
"08/29/2023","89.8240","89.3535","89.9725","89.2370","","0.53%"
"08/28/2023","89.3480","89.2860","89.4375","89.2000","","0.11%"
"08/25/2023","89.2480","89.2795","89.5540","89.0025","","-0.01%"
"08/24/2023","89.2610","89.6435","89.7825","89.2345","","-0.37%"
"08/23/2023","89.5960","90.0870","90.1980","89.2940","","-0.50%"
"08/22/2023","90.0490","90.5150","90.8080","89.9240","","-0.49%"
"08/21/2023","90.4930","90.4695","90.7170","90.3370","","0.16%"
"08/18/2023","90.3480","90.3900","90.5605","90.1120","","-0.03%"
"08/17/2023","90.3710","90.5125","90.6800","90.1795","","-0.17%"
"08/16/2023","90.5230","90.7895","91.0570","90.5130","","-0.23%"
"08/15/2023","90.7340","90.7165","91.2470","90.6675","","0.05%"
"08/14/2023","90.6890","90.7975","91.0535","90.5180","","0.00%"
"08/11/2023","90.6930","90.7510","91.1350","90.7105","","-0.01%"
"08/10/2023","90.7040","90.9515","91.4810","90.7055","","-0.22%"
"08/09/2023","90.9050","90.8040","91.1115","90.7635","","0.16%"
"08/08/2023","90.7570","91.0760","91.1835","90.6020","","-0.33%"
"08/07/2023","91.0580","91.1140","91.1465","90.7200","","0.05%"
"08/04/2023","91.0170","90.5840","91.3165","90.5500","","0.50%"
"08/03/2023","90.5620","90.4915","90.7285","90.2980","","0.10%"
"08/02/2023","90.4740","90.4395","90.8250","90.3915","","0.05%"
"08/01/2023","90.4260","90.4280","90.5345","90.1540","","-0.01%"
"07/31/2023","90.4310","90.6675","90.8780","90.4065","","-0.15%"
"07/28/2023","90.5710","90.1900","90.8655","90.0660","","0.47%"
"07/27/2023","90.1430","90.8140","91.3680","90.0870","","-0.75%"
"07/26/2023","90.8250","90.4740","91.0870","90.3640","","0.39%"
"07/25/2023","90.4690","90.5060","90.7055","90.2340","","-0.01%"
"07/24/2023","90.4760","91.2305","91.3170","90.4610","","-0.76%"
"07/21/2023","91.1700","91.3795","91.4530","91.1135","","-0.17%"
"07/20/2023","91.3270","91.9020","92.1425","91.2405","","-0.60%"
"07/19/2023","91.8800","92.1340","92.3095","91.6840","","-0.26%"
"07/18/2023","92.1210","92.1915","92.4915","91.9500","","-0.07%"
"07/17/2023","92.1880","92.2135","92.3630","91.9415","","0.08%"
"07/14/2023","92.1160","92.1135","92.4015","91.9705","","0.04%"
"07/13/2023","92.0820","91.2575","92.1295","91.2240","","0.94%"
"07/12/2023","91.2270","90.7045","91.3945","90.6135","","0.61%"
"07/11/2023","90.6780","90.7820","90.9185","90.4885","","-0.09%"
"07/10/2023","90.7640","90.6370","90.8145","90.4020","","0.18%"
"07/07/2023","90.5980","90.1115","90.6755","89.9055","","0.55%"
"07/06/2023","90.0990","89.4325","90.1615","89.2500","","0.76%"
"07/05/2023","89.4170","89.1750","89.6810","89.1530","","0.32%"
"07/04/2023","89.1330","89.4185","89.5015","89.1585","","-0.30%"
"07/03/2023","89.3970","89.5710","89.5995","89.0330","","-0.18%"
"06/30/2023","89.5610","89.1990","89.6935","88.8915","","0.41%"
"06/29/2023","89.1930","89.5195","89.7500","89.1600","","-0.33%"
"06/28/2023","89.4920","89.8915","89.9635","89.4110","","-0.39%"
"06/27/2023","89.8450","89.4350","89.9895","89.3840","","0.52%"
"06/26/2023","89.3800","89.3350","89.5955","89.2610","","0.13%"
"06/23/2023","89.2680","89.8035","89.8325","88.9555","","-0.57%"
"06/22/2023","89.7840","90.0235","90.2735","89.7100","","-0.23%"
"06/21/2023","89.9920","89.5330","90.1055","89.4585","","0.55%"
"06/20/2023","89.5030","89.4755","89.8825","89.3435","","0.05%"
"06/19/2023","89.4540","89.6315","89.6970","89.3440","","-0.15%"
"06/16/2023","89.5850","89.6405","89.8645","89.4315","","-0.04%"
"06/15/2023","89.6230","88.7625","89.7510","88.7485","","0.97%"
"06/14/2023","88.7600","88.7535","89.0310","88.5560","","0.03%"
"06/13/2023","88.7330","88.6375","89.0655","88.6330","","0.12%"
"06/12/2023","88.6270","88.6365","88.9730","88.4840","","0.03%"
"06/09/2023","88.5980","88.9680","89.0045","88.5505","","-0.37%"
"06/08/2023","88.9300","88.2775","89.0140","88.2490","","0.77%"
"06/07/2023","88.2500","88.2295","88.6140","88.0540","","0.02%"
"06/06/2023","88.2280","88.4170","88.7035","88.0895","","-0.19%"
"06/05/2023","88.3950","88.2775","88.5365","88.0920","","0.20%"
"06/02/2023","88.2150","88.5545","88.7290","88.1875","","-0.34%"
"06/01/2023","88.5180","88.3955","88.6335","87.9455","","0.17%"
"05/31/2023","88.3680","88.7790","88.7830","87.9315","","-0.40%"
"05/30/2023","88.7240","88.4585","88.8480","88.3010","","0.36%"
"05/29/2023","88.4080","88.5700","88.7415","88.4375","","-0.16%"
"05/26/2023","88.5480","88.7155","88.9015","88.3965","","-0.15%"
"05/25/2023","88.6820","88.8760","88.9375","88.6205","","-0.19%"
"05/24/2023","88.8540","89.2300","89.3250","88.8600","","-0.40%"
"05/23/2023","89.2080","89.5720","89.6290","89.1465","","-0.39%"
"05/22/2023","89.5580","89.6535","89.7905","89.4145","","0.04%"
"05/19/2023","89.5250","89.1030","89.7820","89.0080","","0.50%"
"05/18/2023","89.0810","89.3270","89.4335","89.0525","","-0.26%"
"05/17/2023","89.3130","89.3850","89.5280","89.0870","","-0.04%"
"05/16/2023","89.3470","89.4565","89.6680","89.3175","","-0.07%"
"05/15/2023","89.4080","89.2370","89.6165","89.1420","","0.30%"
"05/12/2023","89.1410","89.6080","89.8590","89.1670","","-0.51%"
"05/11/2023","89.6010","89.9620","90.1000","89.5115","","-0.36%"
"05/10/2023","89.9260","90.0175","90.2025","89.7380","","-0.06%"
"05/09/2023","89.9820","90.0070","90.2465","89.8510","","0.00%"
"05/08/2023","89.9800","90.1725","90.4120","89.9540","","-0.04%"
"05/05/2023","90.0170","89.9955","90.2850","89.6620","","0.05%"
"05/04/2023","89.9710","90.4490","90.6820","89.8335","","-0.49%"
"05/03/2023","90.4130","89.9430","90.6425","89.9430","","0.54%"
"05/02/2023","89.9250","89.7480","90.0600","89.5415","","0.20%"
"05/01/2023","89.7430","90.2100","90.2300","89.6555","","-0.35%"
"04/28/2023","90.0550","90.1235","90.3470","89.6570","","-0.03%"
"04/27/2023","90.0850","90.2795","90.4245","89.9320","","-0.17%"
"04/26/2023","90.2410","89.9595","90.7140","89.9105","","0.34%"
"04/25/2023","89.9320","90.5330","90.7050","89.9200","","-0.61%"
"04/24/2023","90.4810","90.1870","90.5740","89.9660","","0.39%"
"04/21/2023","90.1260","90.1075","90.2245","89.8225","","0.07%"
"04/20/2023","90.0610","90.1460","90.2340","89.8430","","-0.06%"
"04/19/2023","90.1130","90.0855","90.2100","89.7855","","0.08%"
"04/18/2023","90.0420","89.5825","90.1170","89.5365","","0.53%"
"04/17/2023","89.5710","89.9480","90.1175","89.4645","","-0.47%"
"04/14/2023","89.9940","90.1940","90.5040","89.8590","","-0.17%"
"04/13/2023","90.1500","90.0905","90.3870","89.9595","","0.13%"
"04/12/2023","90.0330","89.5470","90.1970","89.5425","","0.58%"
"04/11/2023","89.5140","89.0600","89.7235","89.0110","","0.57%"
"04/10/2023","89.0060","89.2625","89.4935","88.8455","","-0.22%"
"04/07/2023","89.2030","89.3855","89.4140","89.0295","","-0.17%"
"04/06/2023","89.3560","89.3610","89.5450","89.1505","","0.01%"
"04/05/2023","89.3500","89.9310","90.0910","89.2585","","-0.62%"
"04/04/2023","89.9050","89.5790","90.1150","89.4575","","0.41%"
"04/03/2023","89.5380","89.1465","89.7745","88.7435","","0.54%"
"03/31/2023","89.0530","89.5380","89.7000","89.0385","","-0.47%"
"03/30/2023","89.4750","89.1435","89.6840","88.9620","","0.41%"
"03/29/2023","89.1060","89.1455","89.4785","88.9710","","0.01%"
"03/28/2023","89.0990","88.7555","89.1825","88.7310","","0.42%"
"03/27/2023","88.7220","88.6505","88.8600","88.5175","","0.16%"
"03/24/2023","88.5830","89.0850","89.1710","88.3395","","-0.54%"
"03/23/2023","89.0620","89.5890","89.8430","88.9010","","-0.55%"
"03/22/2023","89.5590","89.0520","90.2165","88.9490","","0.60%"
"03/21/2023","89.0270","88.4930","89.1680","88.4110","","0.65%"
"03/20/2023","88.4510","88.2930","88.5905","87.8350","","0.49%"
"03/17/2023","88.0160","87.6570","88.1805","87.6240","","0.45%"
"03/16/2023","87.6190","87.6955","87.9460","87.3935","","-0.03%"
"03/15/2023","87.6460","88.2895","88.6405","87.1250","","-0.70%"
"03/14/2023","88.2650","88.2720","88.6030","87.9725","","0.04%"
"03/13/2023","88.2300","87.2640","88.4280","87.2640","","1.15%"
"03/10/2023","87.2300","86.7990","87.6290","86.7310","","0.52%"
"03/09/2023","86.7770","86.4215","86.8795","86.2780","","0.43%"
"03/08/2023","86.4080","86.5325","86.7005","86.2225","","-0.09%"
"03/07/2023","86.4850","87.3825","87.5285","86.4915","","-1.00%"
"03/06/2023","87.3570","86.7680","87.4815","86.7350","","0.59%"
"03/03/2023","86.8420","87.2795","87.4455","86.6145","","-0.48%"
"03/02/2023","87.2580","87.9375","87.9945","87.1265","","-0.76%"
"03/01/2023","87.9280","87.4055","88.1515","87.2600","","0.60%"
"02/28/2023","87.4000","87.6525","87.9295","87.3845","","-0.29%"
"02/27/2023","87.6580","87.4160","87.7925","87.3130","","0.27%"
"02/24/2023","87.4230","87.5495","87.7465","87.3005","","-0.09%"
"02/23/2023","87.5040","87.8345","88.0080","87.3805","","-0.35%"
"02/22/2023","87.8080","88.2180","88.3685","87.7815","","-0.44%"
"02/21/2023","88.1960","88.3950","88.5610","88.1170","","-0.16%"
"02/20/2023","88.3330","88.4595","88.5195","88.2590","","-0.18%"
